"","year","occurrence"
"1","1965",339
"2","1966",234
"3","1967",255
"4","1968",305
"5","1969",323
"6","1970",345
"7","1971",386
"8","1972",388
"9","1973",401
"10","1974",361
"11","1975",412
"12","1976",457
"13","1977",425
"14","1978",410
"15","1979",356
"16","1980",348
"17","1981",321
"18","1982",346
"19","1983",453
"20","1984",482
"21","1985",476
"22","1986",485
"23","1987",505
"24","1988",489
"25","1989",480
"26","1990",528
"27","1991",429
"28","1992",533
"29","1993",466
"30","1994",508
"31","1995",591
"32","1996",541
"33","1997",456
"34","1998",388
"35","1999",446
"36","2000",553
"37","2001",443
"38","2002",444
"39","2003",485
"40","2004",571
"41","2005",533
"42","2006",508
"43","2007",608
"44","2008",508
"45","2009",517
"46","2010",560
"47","2011",713
"48","2012",445
"49","2013",461
"50","2014",480
"51","2015",446
"52","2016",469
